,part,sex,group,age_months,condition,ME13
77,OA05,F,5,705,IMRE_ME13,68.52
78,OA06,F,5,717,IMRE_ME13,65.29
79,OA07,F,5,708,IMRE_ME13,66.86
80,OA08,F,5,708,IMRE_ME13,67.74
81,OA26,F,5,779,IMRE_ME13,67.29
82,OA27,F,5,780,IMRE_ME13,67.93
83,OA32,F,5,771,IMRE_ME13,68.68
84,OA33,F,5,732,IMRE_ME13,69.01
85,OA39,M,5,715,IMRE_ME13,66.01
86,OA40,M,5,733,IMRE_ME13,66.38
87,OA41,M,5,641,IMRE_ME13,65.69
88,OA42,M,5,685,IMRE_ME13,67.6
89,OA43,M,5,613,IMRE_ME13,63.74
90,OA44,M,5,656,IMRE_ME13,61.06
91,OA45,M,5,770,IMRE_ME13,62.91
92,OA46,M,5,705,IMRE_ME13,65.58
93,OA47,M,5,649,IMRE_ME13,63.66
94,OA48,M,5,643,IMRE_ME13,64.68
95,OA09,F,6,920,IMRE_ME13,69.42
96,OA11,F,6,884,IMRE_ME13,65.29
97,OA13,F,6,858,IMRE_ME13,67.38
98,OA14,F,6,820,IMRE_ME13,68.24
99,OA15,F,6,893,IMRE_ME13,68.21
100,OA16,F,6,801,IMRE_ME13,64.67
101,OA17,M,6,819,IMRE_ME13,64.93
102,OA18,M,6,834,IMRE_ME13,65.26
103,OA20,M,6,903,IMRE_ME13,61.71
104,OA21,M,6,797,IMRE_ME13,66.23
105,OA23,M,6,913,IMRE_ME13,68.21
106,OA24,F,6,892,IMRE_ME13,69.04
107,OA25,F,6,895,IMRE_ME13,70.28
108,OA29,M,6,781,IMRE_ME13,58.53
109,OA30,F,6,799,IMRE_ME13,68.5
110,OA31,F,6,893,IMRE_ME13,68.91
111,OA34,M,6,787,IMRE_ME13,64.92
112,OA35,M,6,830,IMRE_ME13,65.13
113,OA36,M,6,800,IMRE_ME13,66.02
114,OA37,M,6,949,IMRE_ME13,67.56
115,CH01,F,1,115,IMUR_ME13,70.26
116,CH02,F,1,114,IMUR_ME13,69.96
117,CH05,M,1,135,IMUR_ME13,68.75
118,CH06,M,1,136,IMUR_ME13,66.45
119,CH07,F,1,97,IMUR_ME13,70.87
120,CH08,F,1,100,IMUR_ME13,72.71
121,CH09,M,1,145,IMUR_ME13,69.1
122,CH10,M,1,144,IMUR_ME13,69.25
