,part,sex,group,age_months,condition,f0
476,CH33,F,1,135,IMUR_medianf0st,103.99
477,CH03,F,2,176,IMUR_medianf0st,94.88
478,CH04,F,2,185,IMUR_medianf0st,91.09
479,CH11,M,2,170,IMUR_medianf0st,88.34
480,CH12,M,2,167,IMUR_medianf0st,90.58
481,CH24,F,2,192,IMUR_medianf0st,92.52
482,CH25,F,2,193,IMUR_medianf0st,92.13
483,CH26,F,2,215,IMUR_medianf0st,91.11
484,CH27,F,2,215,IMUR_medianf0st,94.91
485,CH28,F,2,195,IMUR_medianf0st,96.01
486,CH29,F,2,207,IMUR_medianf0st,95.77
487,CH30,M,2,206,IMUR_medianf0st,86.85
488,CH31,M,2,212,IMUR_medianf0st,83.52
489,CH34,F,2,184,IMUR_medianf0st,92.3
490,CH35,F,2,171,IMUR_medianf0st,89.05
491,YA01,F,3,277,IMUR_medianf0st,90.2
492,YA02,F,3,318,IMUR_medianf0st,91.27
493,YA03,F,3,265,IMUR_medianf0st,91.95
494,YA04,F,3,264,IMUR_medianf0st,92.49
495,YA05,F,3,257,IMUR_medianf0st,94.79
496,YA06,F,3,295,IMUR_medianf0st,89.17
497,YA07,F,3,258,IMUR_medianf0st,94.92
498,YA08,F,3,267,IMUR_medianf0st,96.14
499,YA09,F,3,271,IMUR_medianf0st,95.02
500,YA10,F,3,241,IMUR_medianf0st,92.18
501,YA11,M,3,269,IMUR_medianf0st,86.59
502,YA12,M,3,266,IMUR_medianf0st,86.16
503,YA13,M,3,242,IMUR_medianf0st,88.28
504,YA14,M,3,266,IMUR_medianf0st,87.15
505,YA15,M,3,233,IMUR_medianf0st,83.68
506,YA16,M,3,244,IMUR_medianf0st,84.95
507,YA17,M,3,230,IMUR_medianf0st,82.2
508,YA18,M,3,244,IMUR_medianf0st,79.3
509,YA19,M,3,277,IMUR_medianf0st,82.03
510,YA20,M,3,241,IMUR_medianf0st,82.83
511,MA01,F,4,436,IMUR_medianf0st,89.9
512,MA02,F,4,476,IMUR_medianf0st,92.83
513,MA03,F,4,441,IMUR_medianf0st,92.39
514,MA04,F,4,431,IMUR_medianf0st,89.48
515,MA05,M,4,467,IMUR_medianf0st,86.31
516,MA06,M,4,506,IMUR_medianf0st,86.16
517,MA11,F,4,596,IMUR_medianf0st,92.23
518,MA12,F,4,599,IMUR_medianf0st,92.85
519,MA13,F,4,557,IMUR_medianf0st,91.76
520,MA14,F,4,554,IMUR_medianf0st,90.84
521,MA15,M,4,597,IMUR_medianf0st,85.21
522,MA16,M,4,515,IMUR_medianf0st,85.3
523,MA17,M,4,573,IMUR_medianf0st,86.97
524,MA18,M,4,558,IMUR_medianf0st,84.2
525,MA19,M,4,432,IMUR_medianf0st,86.17
526,MA20,M,4,438,IMUR_medianf0st,80.21
527,MA21,M,4,588,IMUR_medianf0st,89.21
528,MA22,M,4,547,IMUR_medianf0st,89.45
529,MA23,F,4,488,IMUR_medianf0st,93.6
530,MA24,F,4,528,IMUR_medianf0st,94.9
531,OA01,F,5,774,IMUR_medianf0st,94.97
532,OA02,F,5,745,IMUR_medianf0st,98.74
533,OA05,F,5,705,IMUR_medianf0st,91.65
534,OA06,F,5,717,IMUR_medianf0st,90.31
535,OA07,F,5,708,IMUR_medianf0st,95.75
536,OA08,F,5,708,IMUR_medianf0st,96.91
537,OA26,F,5,779,IMUR_medianf0st,91.88
538,OA27,F,5,780,IMUR_medianf0st,93.45
539,OA32,F,5,771,IMUR_medianf0st,91.4
540,OA33,F,5,732,IMUR_medianf0st,95.13
541,OA39,M,5,715,IMUR_medianf0st,87
542,OA40,M,5,733,IMUR_medianf0st,88.38
543,OA41,M,5,641,IMUR_medianf0st,86.23
544,OA42,M,5,685,IMUR_medianf0st,87.17
545,OA43,M,5,613,IMUR_medianf0st,84.86
546,OA44,M,5,656,IMUR_medianf0st,81.87
547,OA45,M,5,770,IMUR_medianf0st,90.18
548,OA46,M,5,705,IMUR_medianf0st,84.27
549,OA47,M,5,649,IMUR_medianf0st,87.62
550,OA48,M,5,643,IMUR_medianf0st,89.25
551,OA09,F,6,920,IMUR_medianf0st,91.9
552,OA11,F,6,884,IMUR_medianf0st,91.34
553,OA13,F,6,858,IMUR_medianf0st,92.4
554,OA14,F,6,820,IMUR_medianf0st,94.08
