,part,sex,group,age_months,condition,f0
1657,MA11,F,4,596,IMRE_diff,2.63
1658,MA12,F,4,599,IMRE_diff,1.62
1659,MA13,F,4,557,IMRE_diff,2.02
1660,MA14,F,4,554,IMRE_diff,2.08
1661,MA15,M,4,597,IMRE_diff,4.97
1662,MA16,M,4,515,IMRE_diff,2.74
1663,MA17,M,4,573,IMRE_diff,4.89
1664,MA18,M,4,558,IMRE_diff,1.86
1665,MA19,M,4,432,IMRE_diff,4.18
1666,MA20,M,4,438,IMRE_diff,2.21
1667,MA21,M,4,588,IMRE_diff,3.98
1668,MA22,M,4,547,IMRE_diff,4.3
1669,MA23,F,4,488,IMRE_diff,2.54
1670,MA24,F,4,528,IMRE_diff,2.92
1671,OA01,F,5,774,IMRE_diff,5.67
1672,OA02,F,5,745,IMRE_diff,5.68
1673,OA05,F,5,705,IMRE_diff,2.12
1674,OA06,F,5,717,IMRE_diff,2.54
1675,OA07,F,5,708,IMRE_diff,2.06
1676,OA08,F,5,708,IMRE_diff,2.07
1677,OA26,F,5,779,IMRE_diff,4.6
1678,OA27,F,5,780,IMRE_diff,1.62
1679,OA32,F,5,771,IMRE_diff,3.25
1680,OA33,F,5,732,IMRE_diff,2.36
1681,OA39,M,5,715,IMRE_diff,4.26
1682,OA40,M,5,733,IMRE_diff,3.67
1683,OA41,M,5,641,IMRE_diff,6.15
1684,OA42,M,5,685,IMRE_diff,3.77
1685,OA43,M,5,613,IMRE_diff,2.02
1686,OA44,M,5,656,IMRE_diff,0.89
1687,OA45,M,5,770,IMRE_diff,5.1
1688,OA46,M,5,705,IMRE_diff,4.01
1689,OA47,M,5,649,IMRE_diff,3.98
1690,OA48,M,5,643,IMRE_diff,3.2
1691,OA09,F,6,920,IMRE_diff,3.47
1692,OA11,F,6,884,IMRE_diff,4.41
1693,OA13,F,6,858,IMRE_diff,2.93
1694,OA14,F,6,820,IMRE_diff,3.01
1695,OA15,F,6,893,IMRE_diff,1.55
1696,OA16,F,6,801,IMRE_diff,2.63
1697,OA17,M,6,819,IMRE_diff,3.97
1698,OA18,M,6,834,IMRE_diff,3.01
1699,OA20,M,6,903,IMRE_diff,3.5
1700,OA21,M,6,797,IMRE_diff,4.5
1701,OA23,M,6,913,IMRE_diff,3.34
1702,OA24,F,6,892,IMRE_diff,3.2
1703,OA25,F,6,895,IMRE_diff,1.29
1704,OA29,M,6,781,IMRE_diff,3.78
1705,OA30,F,6,799,IMRE_diff,1.17
1706,OA31,F,6,893,IMRE_diff,3.37
1707,OA34,M,6,787,IMRE_diff,2.21
1708,OA35,M,6,830,IMRE_diff,1.27
1709,OA36,M,6,800,IMRE_diff,3.92
1710,OA37,M,6,949,IMRE_diff,2.31
1711,CH01,F,1,115,SPSN_diff,4.82
1712,CH02,F,1,114,SPSN_diff,6.65
1713,CH05,M,1,135,SPSN_diff,4.21
1714,CH06,M,1,136,SPSN_diff,4.86
1715,CH07,F,1,97,SPSN_diff,4.45
1716,CH08,F,1,100,SPSN_diff,5.76
1717,CH09,M,1,145,SPSN_diff,3.22
1718,CH10,M,1,144,SPSN_diff,3.36
1719,CH13,M,1,98,SPSN_diff,7.38
1720,CH15,M,1,98,SPSN_diff,4.95
1721,CH16,M,1,124,SPSN_diff,6.11
1722,CH17,M,1,140,SPSN_diff,4.5
1723,CH18,F,1,104,SPSN_diff,5.83
1724,CH19,F,1,99,SPSN_diff,2.32
1725,CH20,F,1,155,SPSN_diff,1.92
1726,CH21,F,1,153,SPSN_diff,1.51
1727,CH22,M,1,126,SPSN_diff,5.72
1728,CH23,M,1,132,SPSN_diff,3.49
1729,CH32,F,1,127,SPSN_diff,4.19
1730,CH33,F,1,135,SPSN_diff,3.44
1731,CH03,F,2,176,SPSN_diff,1.66
1732,CH04,F,2,185,SPSN_diff,1.2
1733,CH11,M,2,170,SPSN_diff,2.65
1734,CH12,M,2,167,SPSN_diff,2.7
1735,CH24,F,2,192,SPSN_diff,2.76
1736,CH25,F,2,193,SPSN_diff,0.87
1737,CH26,F,2,215,SPSN_diff,2.17
1738,CH27,F,2,215,SPSN_diff,1.19
1739,CH28,F,2,195,SPSN_diff,1.01
1740,CH29,F,2,207,SPSN_diff,2.75
1741,CH30,M,2,206,SPSN_diff,4.69
1742,CH31,M,2,212,SPSN_diff,3.62
1743,CH34,F,2,184,SPSN_diff,2.83
1744,CH35,F,2,171,SPSN_diff,1.7
1745,YA01,F,3,277,SPSN_diff,1.91
1746,YA02,F,3,318,SPSN_diff,3.34
1747,YA03,F,3,265,SPSN_diff,5.54
1748,YA04,F,3,264,SPSN_diff,2.64
1749,YA05,F,3,257,SPSN_diff,2.02
1750,YA06,F,3,295,SPSN_diff,1.92
1751,YA07,F,3,258,SPSN_diff,3.88
1752,YA08,F,3,267,SPSN_diff,2.77
1753,YA09,F,3,271,SPSN_diff,3.43
1754,YA10,F,3,241,SPSN_diff,1.36
1755,YA11,M,3,269,SPSN_diff,3.84
1756,YA12,M,3,266,SPSN_diff,5.15
1757,YA13,M,3,242,SPSN_diff,4.67
1758,YA14,M,3,266,SPSN_diff,3
1759,YA15,M,3,233,SPSN_diff,6.81
1760,YA16,M,3,244,SPSN_diff,4.49
1761,YA17,M,3,230,SPSN_diff,3.02
1762,YA18,M,3,244,SPSN_diff,2.35
1763,YA19,M,3,277,SPSN_diff,4.37
1764,YA20,M,3,241,SPSN_diff,5.35
1765,MA01,F,4,436,SPSN_diff,2.77
1766,MA02,F,4,476,SPSN_diff,4.15
1767,MA03,F,4,441,SPSN_diff,1.67
1768,MA04,F,4,431,SPSN_diff,3.37
1769,MA05,M,4,467,SPSN_diff,4.24
1770,MA06,M,4,506,SPSN_diff,5.86
1771,MA11,F,4,596,SPSN_diff,3.23
1772,MA12,F,4,599,SPSN_diff,2.09
1773,MA13,F,4,557,SPSN_diff,1.91
1774,MA14,F,4,554,SPSN_diff,1.77
1775,MA15,M,4,597,SPSN_diff,4.74
1776,MA16,M,4,515,SPSN_diff,4.22
1777,MA17,M,4,573,SPSN_diff,6.65
1778,MA18,M,4,558,SPSN_diff,3.1
1779,MA19,M,4,432,SPSN_diff,5.63
1780,MA20,M,4,438,SPSN_diff,3.27
1781,MA21,M,4,588,SPSN_diff,5.18
1782,MA22,M,4,547,SPSN_diff,4.95
1783,MA23,F,4,488,SPSN_diff,2.93
1784,MA24,F,4,528,SPSN_diff,5.6
1785,OA01,F,5,774,SPSN_diff,5.37
1786,OA02,F,5,745,SPSN_diff,5.09
1787,OA05,F,5,705,SPSN_diff,2.45
1788,OA06,F,5,717,SPSN_diff,4.65
1789,OA07,F,5,708,SPSN_diff,2.92
1790,OA08,F,5,708,SPSN_diff,3.74
1791,OA26,F,5,779,SPSN_diff,5.75
1792,OA27,F,5,780,SPSN_diff,1.4
1793,OA32,F,5,771,SPSN_diff,3.36
1794,OA33,F,5,732,SPSN_diff,2.47
1795,OA39,M,5,715,SPSN_diff,4.65
1796,OA40,M,5,733,SPSN_diff,2.93
1797,OA41,M,5,641,SPSN_diff,6.19
1798,OA42,M,5,685,SPSN_diff,5.75
1799,OA43,M,5,613,SPSN_diff,1.35
1800,OA44,M,5,656,SPSN_diff,0.78
1801,OA45,M,5,770,SPSN_diff,6.63
1802,OA46,M,5,705,SPSN_diff,4.52
1803,OA47,M,5,649,SPSN_diff,3.98
1804,OA48,M,5,643,SPSN_diff,4.97
1805,OA09,F,6,920,SPSN_diff,3.69
1806,OA11,F,6,884,SPSN_diff,5.02
1807,OA13,F,6,858,SPSN_diff,3.49
1808,OA14,F,6,820,SPSN_diff,4.32
1809,OA15,F,6,893,SPSN_diff,2.65
1810,OA16,F,6,801,SPSN_diff,3.61
1811,OA17,M,6,819,SPSN_diff,3.75
1812,OA18,M,6,834,SPSN_diff,3.79
1813,OA20,M,6,903,SPSN_diff,4.31
1814,OA21,M,6,797,SPSN_diff,4.98
1815,OA23,M,6,913,SPSN_diff,3.29
1816,OA24,F,6,892,SPSN_diff,3.23
1817,OA25,F,6,895,SPSN_diff,1.6
1818,OA29,M,6,781,SPSN_diff,3.86
1819,OA30,F,6,799,SPSN_diff,1.15
1820,OA31,F,6,893,SPSN_diff,3.57
1821,OA34,M,6,787,SPSN_diff,3.16
1822,OA35,M,6,830,SPSN_diff,1.52
1823,OA36,M,6,800,SPSN_diff,4.07
1824,OA37,M,6,949,SPSN_diff,2.45
