id,part,sex,group,age_months,condition,rate
678,OA29,M,6,781,IMRE_diff,-0.45
679,OA30,F,6,799,IMRE_diff,-0.31
680,OA31,F,6,893,IMRE_diff,-0.24
681,OA34,M,6,787,IMRE_diff,0.01
682,OA35,M,6,830,IMRE_diff,-0.1
683,OA36,M,6,800,IMRE_diff,-0.04
684,OA37,M,6,949,IMRE_diff,-0.24
685,CH01,F,1,115,SPSN_diff,-0.73
686,CH02,F,1,114,SPSN_diff,-0.81
687,CH05,M,1,135,SPSN_diff,0.15
688,CH06,M,1,136,SPSN_diff,0.21
689,CH07,F,1,97,SPSN_diff,-1.21
690,CH08,F,1,100,SPSN_diff,-0.65
691,CH09,M,1,145,SPSN_diff,-0.18
692,CH10,M,1,144,SPSN_diff,-0.17
693,CH13,M,1,98,SPSN_diff,-0.14
694,CH15,M,1,98,SPSN_diff,-0.42
695,CH16,M,1,124,SPSN_diff,-0.46
696,CH17,M,1,140,SPSN_diff,-0.71
697,CH18,F,1,104,SPSN_diff,-0.46
698,CH19,F,1,99,SPSN_diff,-0.06
699,CH20,F,1,155,SPSN_diff,-0.3
700,CH21,F,1,153,SPSN_diff,-0.55
701,CH22,M,1,126,SPSN_diff,-0.22
702,CH23,M,1,132,SPSN_diff,-0.08
703,CH32,F,1,127,SPSN_diff,-0.14
704,CH33,F,1,135,SPSN_diff,0.05
705,CH03,F,2,176,SPSN_diff,-0.07
706,CH04,F,2,185,SPSN_diff,-0.42
707,CH11,M,2,170,SPSN_diff,0.1
708,CH12,M,2,167,SPSN_diff,-0.29
709,CH24,F,2,192,SPSN_diff,-0.3
710,CH25,F,2,193,SPSN_diff,-0.18
711,CH26,F,2,215,SPSN_diff,-0.05
712,CH27,F,2,215,SPSN_diff,0.15
713,CH28,F,2,195,SPSN_diff,-0.13
714,CH29,F,2,207,SPSN_diff,-0.25
715,CH30,M,2,206,SPSN_diff,-0.05
716,CH31,M,2,212,SPSN_diff,-0.18
717,CH34,F,2,184,SPSN_diff,-0.1
718,CH35,F,2,171,SPSN_diff,-0.68
719,YA01,F,3,277,SPSN_diff,0.17
720,YA02,F,3,318,SPSN_diff,-0.26
721,YA03,F,3,265,SPSN_diff,0.12
722,YA04,F,3,264,SPSN_diff,-0.05
723,YA05,F,3,257,SPSN_diff,-0.06
724,YA06,F,3,295,SPSN_diff,0.07
725,YA07,F,3,258,SPSN_diff,0.02
726,YA08,F,3,267,SPSN_diff,-0.49
727,YA09,F,3,271,SPSN_diff,-0.17
728,YA10,F,3,241,SPSN_diff,-0.02
729,YA11,M,3,269,SPSN_diff,-0.38
730,YA12,M,3,266,SPSN_diff,-0.3
731,YA13,M,3,242,SPSN_diff,-0.5
732,YA14,M,3,266,SPSN_diff,-0.03
733,YA15,M,3,233,SPSN_diff,-0.3
734,YA16,M,3,244,SPSN_diff,0.01
735,YA17,M,3,230,SPSN_diff,-0.19
736,YA18,M,3,244,SPSN_diff,-0.57
737,YA19,M,3,277,SPSN_diff,-0.09
738,YA20,M,3,241,SPSN_diff,-0.42
739,MA01,F,4,436,SPSN_diff,-0.27
740,MA02,F,4,476,SPSN_diff,-0.09
741,MA03,F,4,441,SPSN_diff,-0.54
742,MA04,F,4,431,SPSN_diff,-0.37
743,MA05,M,4,467,SPSN_diff,0.06
744,MA06,M,4,506,SPSN_diff,-0.34
745,MA11,F,4,596,SPSN_diff,-0.23
746,MA12,F,4,599,SPSN_diff,0.06
747,MA13,F,4,557,SPSN_diff,0.13
748,MA14,F,4,554,SPSN_diff,0.15
749,MA15,M,4,597,SPSN_diff,-0.08
750,MA16,M,4,515,SPSN_diff,-0.04
751,MA17,M,4,573,SPSN_diff,-0.52
752,MA18,M,4,558,SPSN_diff,-0.13
753,MA19,M,4,432,SPSN_diff,0.17
754,MA20,M,4,438,SPSN_diff,-0.29
755,MA21,M,4,588,SPSN_diff,-0.09
756,MA22,M,4,547,SPSN_diff,-0.11
757,MA23,F,4,488,SPSN_diff,-0.48
758,MA24,F,4,528,SPSN_diff,-0.33
759,OA01,F,5,774,SPSN_diff,-0.42
760,OA02,F,5,745,SPSN_diff,-0.46
761,OA05,F,5,705,SPSN_diff,0.06
762,OA06,F,5,717,SPSN_diff,-0.01
763,OA07,F,5,708,SPSN_diff,-0.3
764,OA08,F,5,708,SPSN_diff,-0.22
765,OA26,F,5,779,SPSN_diff,-0.73
766,OA27,F,5,780,SPSN_diff,-0.09
767,OA32,F,5,771,SPSN_diff,-0.44
768,OA33,F,5,732,SPSN_diff,-0.16
769,OA39,M,5,715,SPSN_diff,-0.17
770,OA40,M,5,733,SPSN_diff,0.6
771,OA41,M,5,641,SPSN_diff,0.09
772,OA42,M,5,685,SPSN_diff,0.15
773,OA43,M,5,613,SPSN_diff,0.01
774,OA44,M,5,656,SPSN_diff,-0.18
775,OA45,M,5,770,SPSN_diff,-0.13
776,OA46,M,5,705,SPSN_diff,-0.1
777,OA47,M,5,649,SPSN_diff,0.04
778,OA48,M,5,643,SPSN_diff,-0.16
779,OA09,F,6,920,SPSN_diff,-0.34
780,OA11,F,6,884,SPSN_diff,0.06
781,OA13,F,6,858,SPSN_diff,-0.51
782,OA14,F,6,820,SPSN_diff,-0.22
783,OA15,F,6,893,SPSN_diff,-0.33
784,OA16,F,6,801,SPSN_diff,-0.07
785,OA17,M,6,819,SPSN_diff,-0.15
786,OA18,M,6,834,SPSN_diff,-0.3
787,OA20,M,6,903,SPSN_diff,-0.23
788,OA21,M,6,797,SPSN_diff,-0.28
789,OA23,M,6,913,SPSN_diff,-0.25
790,OA24,F,6,892,SPSN_diff,-0.18
791,OA25,F,6,895,SPSN_diff,-0.31
792,OA29,M,6,781,SPSN_diff,-0.28
793,OA30,F,6,799,SPSN_diff,-0.04
794,OA31,F,6,893,SPSN_diff,-0.36
795,OA34,M,6,787,SPSN_diff,0.05
796,OA35,M,6,830,SPSN_diff,-0.1
797,OA36,M,6,800,SPSN_diff,-0.2
798,OA37,M,6,949,SPSN_diff,-0.04
